<s>,<utt>,<utt>/<s>,speakers
 66 ,  864 ,  13.0909090909 ,  16
 37 ,  1112 ,  30.0540540541 ,  16
 17 ,  272 ,  16.0 ,  16
 12 ,  311 ,  25.9166666667 ,  16
 25 ,  271 ,  10.84 ,  16
 41 ,  608 ,  14.8292682927 ,  16
 44 ,  1059 ,  24.0681818182 ,  16
 12 ,  239 ,  19.9166666667 ,  16
 6 ,  256 ,  42.6666666667 ,  16
 12 ,  317 ,  26.4166666667 ,  16
 7 ,  334 ,  47.7142857143 ,  16
 5 ,  200 ,  40.0 ,  16
 30 ,  397 ,  13.2333333333 ,  16
 39 ,  407 ,  10.4358974359 ,  16
 38 ,  346 ,  9.10526315789 ,  16
 20 ,  241 ,  12.05 ,  16
 13 ,  282 ,  21.6923076923 ,  16
 19 ,  176 ,  9.26315789474 ,  16
Total, , ,
 443 ,  7692 ,  17.3634311512
